word,root
ربحت,ربحت
تجارتهم,تجارتهم
مهتدين,مهتدين
مثلهم,مثلهم
كمثل,كمثل
الذى,ذىذى
استوقد,استوقد
نارا,نارا
فلما,فلما
اضاءت,اضاءت
ما,ما
حوله,حوله
ذهب,ذهب
بنورهم,بنورهم
وتركهم,تركهمم
ظلمات,ظلمات
يبصرون,يبصرون
صم,صم
بكم,بكم
عمى,عمى
فهم,فهم
يرجعون,يرجعون
او,او
كصيب,كصيب
السماء,سماءاء
ورعد,رعدد
وبرق,برقق
يجعلون,يجعلون
اصابعهم,اصابعهم
ءاذانهم,ءاذانهم
الصواعق,صواعقعق
حذر,حذر
الموت,موتوت
والله,لهلله
محيط,محيط
بالكافرين,كافرينرين
يكاد,يكاد
البرق,برقرق
يخطف,يخطف
كلما,كلما
اضاء,اضاء
مشوا,مشوا
اظلم,اظلم
قاموا,قاموا
ولو,ولو
شاء,شاء
لذهب,لذهب
بسمعهم,بسمعهم
وابصارهم,ابصارهمم
كل,كل
شىء,شىء
قدير,قدير
ياايها,ياايها
اعبدوا,اعبدوا
ربكم,ربكم
خلقكم,خلقكم
قبلكم,قبلكم
لعلكم,لعلكم
تتقون,تتقون
جعل,جعل
لكم,لكم
فراشا,فراشا
والسماء,سماءماء
بناء,بناء
وانزل,انزلل
ماء,ماء
فاخرج,فاخرج
به,به
الثمرات,ثمراتات
رزقا,رزقا
فلا,فلا
تجعلوا,تجعلوا
اندادا,اندادا
وانتم,انتمم
تعلمون,تعلمون
وان,وان
كنتم,كنتم
مما,مما
نزلنا,نزلنا
عبدنا,عبدنا
فاتوا,فاتوا
بسورة,بسورة
مثله,مثله
وادعوا,ادعواا
شهداءكم,شهداءكم
دون,دون
صادقين,صادقين
فان,فان
تفعلوا,تفعلوا
ولن,ولن
فاتقوا,فاتقوا
النار,نارار
التى,تىتى
وقودها,قودهاا
والحجارة,حجارةارة
اعدت,اعدت
للكافرين,كافرينين
وبشر,بشرر
وعملوا,عملواا
الصالحات,صالحاتات
جنات,جنات
تجرى,تجرى
تحتها,تحتها
الانهار,انهارار
رزقوا,رزقوا
منها,منها
ثمرة,ثمرة
هاذا,هاذا
رزقنا,رزقنا
قبل,قبل
واتوا,اتواا
متشابها,متشابها
فيها,فيها
ازواج,ازواج
مطهرة,مطهرة
وهم,وهم
خالدون,خالدون
يستحى,يستحى
يضرب,يضرب
مثلا,مثلا
بعوضة,بعوضة
فوقها,فوقها
فاما,فاما
فيعلمون,فيعلمون
انه,انه
الحق,حقحق
واما,اماا
فيقولون,فيقولون
ماذا,ماذا
اراد,اراد
بهاذا,بهاذا
يضل,يضل
كثيرا,كثيرا
ويهدى,يهدىى
الفاسقين,فاسقينين
ينقضون,ينقضون
عهد,عهد
بعد,بعد
ميثاقه,ميثاقه
ويقطعون,يقطعونن
امر,امر
يوصل,يوصل
ويفسدون,يفسدونن
الخاسرون,خاسرونون
كيف,كيف
تكفرون,تكفرون
وكنتم,كنتمم
امواتا,امواتا
فاحياكم,فاحياكم
ثم,ثم
يميتكم,يميتكم
يحييكم,يحييكم
اليه,يهيه
ترجعون,ترجعون
هو,هو
خلق,خلق
جميعا,جميعا
استوىا,استوىا
الى,الى
فسوىاهن,فسوىاهن
سبع,سبع
سماوات,سماوات
وهو,وهو
بكل,بكل
عليم,عليم
واذ,واذ
قال,قال
ربك,ربك
للملايكة,ملايكةكة
انى,انى
جاعل,جاعل
خليفة,خليفة
اتجعل,اتجعل
يفسد,يفسد
ويسفك,يسفكك
الدماء,دماءاء
ونحن,نحنن
نسبح,نسبح
بحمدك,بحمدك
ونقدس,نقدسس
لك,لك
اعلم,اعلم
وعلم,علمم
ءادم,ءادم
الاسماء,اسماءاء
كلها,كلها
عرضهم,عرضهم
على,على
الملايكة,ملايكةكة
فقال,فقال
انبـونى,انبـونى
باسماء,باسماء
هاولاء,هاولاء
سبحانك,سبحانك
علم,علم
لنا,لنا
علمتنا,علمتنا
انك,انك
انت,انت
العليم,عليميم
الحكيم,حكيميم
ياـادم,ياـادم
انبيهم,انبيهم
باسمايهم,باسمايهم
انباهم,انباهم
اقل,اقل
غيب,غيب
السماوات,سماواتات
والارض,ارضارض
واعلم,اعلمم
تبدون,تبدون
تكتمون,تكتمون
قلنا,قلنا
اسجدوا,اسجدوا
لءادم,لءادم
فسجدوا,فسجدوا
ابليس,ابليس
ابىا,ابىا
واستكبر,استكبرر
وكان,كانن
الكافرين,كافرينين
وقلنا,قلناا
اسكن,اسكن
وزوجك,زوجكك
الجنة,جنةنة
وكلا,كلاا
رغدا,رغدا
حيث,حيث
شيتما,شيتما
تقربا,تقربا
هاذه,هاذه
الشجرة,شجرةرة
فتكونا,فتكونا
الظالمين,ظالمينين
فازلهما,فازلهما
الشيطان,شيطانان
عنها,عنها
فاخرجهما,فاخرجهما
كانا,كانا
اهبطوا,اهبطوا
بعضكم,بعضكم
لبعض,لبعض
عدو,عدو
ولكم,لكمم
مستقر,مستقر
ومتاع,متاعع
حين,حين
فتلقىا,فتلقىا
ربه,ربه
كلمات,كلمات
فتاب,فتاب
عليه,عليه
التواب,تواباب
ياتينكم,ياتينكم
منى,منى
فمن,فمن
تبع,تبع
هداى,هداى
خوف,خوف
يحزنون,يحزنون
وكذبوا,كذبواا
بـاياتنا,بـاياتنا
اصحاب,اصحاب
يابنى,يابنى
اسراءيل,اسراءيل
اذكروا,اذكروا
نعمتى,نعمتى
عليكم,عليكم
واوفوا,اوفواا
بعهدى,بعهدى
اوف,اوف
بعهدكم,بعهدكم
واياى,اياىى
فارهبون,فارهبون
وءامنوا,ءامنواا
انزلت,انزلت
مصدقا,مصدقا
لما,لما
تكونوا,تكونوا
اول,اول
كافر,كافر
تشتروا,تشتروا
بـاياتى,بـاياتى
ثمنا,ثمنا
قليلا,قليلا
فاتقون,فاتقون
تلبسوا,تلبسوا
بالباطل,باطلاطل
وتكتموا,تكتمواا
واقيموا,اقيمواا
وءاتوا,ءاتواا
الزكواة,زكواةاة
واركعوا,اركعواا
مع,مع
الراكعين,راكعينين
اتامرون,اتامرون
بالبر,برلبر
وتنسون,تنسونن
انفسكم,انفسكم
تتلون,تتلون
افلا,افلا
تعقلون,تعقلون
واستعينوا,استعينواا
بالصبر,صبرصبر
والصلواة,صلواةواة
وانها,انهاا
لكبيرة,لكبيرة
الخاشعين,خاشعينين
يظنون,يظنون
ملاقوا,ملاقوا
وانهم,انهمم
راجعون,راجعون
وانى,انىى
فضلتكم,فضلتكم
واتقوا,اتقواا
يوما,يوما
تجزى,تجزى
نفس,نفس
عن,عن
شيـا,شيـا
يقبل,يقبل
شفاعة,شفاعة
يوخذ,يوخذ
عدل,عدل
ينصرون,ينصرون
نجيناكم,نجيناكم
ءال,ءال
فرعون,فرعون
يسومونكم,يسومونكم
سوء,سوء
العذاب,عذاباب
يذبحون,يذبحون
ابناءكم,ابناءكم
ويستحيون,يستحيونن
نساءكم,نساءكم
وفى,وفى
ذالكم,ذالكم
بلاء,بلاء
فرقنا,فرقنا
البحر,بحرحر
فانجيناكم,فانجيناكم
واغرقنا,اغرقناا
تنظرون,تنظرون
واعدنا,اعدناا
موسىا,موسىا
اربعين,اربعين
ليلة,ليلة
اتخذتم,اتخذتم
العجل,عجلجل
بعده,بعده
ظالمون,ظالمون
عفونا,عفونا
عنكم,عنكم
تشكرون,تشكرون
ءاتينا,ءاتينا
موسى,موسى
والفرقان,فرقانقان
تهتدون,تهتدون
لقومه,لقومه
ياقوم,ياقوم
انكم,انكم
ظلمتم,ظلمتم
باتخاذكم,باتخاذكم
فتوبوا,فتوبوا
باريكم,باريكم
فاقتلوا,فاقتلوا
خير,خير
عند,عند
قلتم,قلتم
ياموسىا,ياموسىا
لن,لن
نومن,نومن
حتىا,حتىا
نرى,نرى
جهرة,جهرة
فاخذتكم,فاخذتكم
الصاعقة,صاعقةقة
بعثناكم,بعثناكم
موتكم,موتكم
وظللنا,ظللناا
الغمام,غمامام
وانزلنا,انزلناا
المن,منمن
والسلوىا,سلوىاوىا
كلوا,كلوا
طيبات,طيبات
رزقناكم,رزقناكم
ظلمونا,ظلمونا
يظلمون,يظلمون
ادخلوا,ادخلوا
القرية,قريةية
فكلوا,فكلوا
شيتم,شيتم
وادخلوا,ادخلواا
الباب,باباب
سجدا,سجدا
وقولوا,قولواا
حطة,حطة
نغفر,نغفر
خطاياكم,خطاياكم
وسنزيد,سنزيدد
المحسنين,محسنينين
فبدل,فبدل
ظلموا,ظلموا
قولا,قولا
فانزلنا,فانزلنا
رجزا,رجزا
يفسقون,يفسقون
استسقىا,استسقىا
فقلنا,فقلنا
اضرب,اضرب
بعصاك,بعصاك
الحجر,حجرجر
فانفجرت,فانفجرت
منه,منه
اثنتا,اثنتا
عشرة,عشرة
عينا,عينا
قد,قد
اناس,اناس
مشربهم,مشربهم
واشربوا,اشربواا
رزق,رزق
تعثوا,تعثوا
مفسدين,مفسدين
نصبر,نصبر
طعام,طعام
واحد,احدد
فادع,فادع
يخرج,يخرج
تنبت,تنبت
بقلها,بقلها
وقثايها,قثايهاا
وفومها,فومهاا
وعدسها,عدسهاا
وبصلها,بصلهاا
اتستبدلون,اتستبدلون
ادنىا,ادنىا
بالذى,ذىلذى
مصرا,مصرا
سالتم,سالتم
وضربت,ضربتت
الذلة,ذلةلة
والمسكنة,مسكنةكنة
وباءو,باءوو
بغضب,بغضب
بانهم,بانهم
يكفرون,يكفرون
بـايات,بـايات
ويقتلون,يقتلونن
النبين,نبينين
بغير,بغير
عصوا,عصوا
وكانوا,كانواا
يعتدون,يعتدون
هادوا,هادوا
والنصارىا,نصارىارىا
والصابـين,صابـينـين
واليوم,يوميوم
وعمل,عملل
صالحا,صالحا
فلهم,فلهم
اجرهم,اجرهم
اخذنا,اخذنا
ميثاقكم,ميثاقكم
ورفعنا,رفعناا
فوقكم,فوقكم
الطور,طورور
خذوا,خذوا
ءاتيناكم,ءاتيناكم
بقوة,بقوة
واذكروا,اذكرواا
توليتم,توليتم
فلولا,فلولا
فضل,فضل
ورحمته,رحمتهه
لكنتم,لكنتم
الخاسرين,خاسرينين
ولقد,لقدد
علمتم,علمتم
اعتدوا,اعتدوا
منكم,منكم
السبت,سبتبت
كونوا,كونوا
قردة,قردة
خاسـين,خاسـين
فجعلناها,فجعلناها
نكالا,نكالا
بين,بين
يديها,يديها
خلفها,خلفها
وموعظة,موعظةة
يامركم,يامركم
تذبحوا,تذبحوا
بقرة,بقرة
اتتخذنا,اتتخذنا
هزوا,هزوا
اعوذ,اعوذ
اكون,اكون
الجاهلين,جاهلينين
ادع,ادع
يبين,يبين
هى,هى
انها,انها
فارض,فارض
بكر,بكر
عوان,عوان
فافعلوا,فافعلوا
تومرون,تومرون
لونها,لونها
صفراء,صفراء
فاقع,فاقع
تسر,تسر
الناظرين,ناظرينين
البقر,بقرقر
تشابه,تشابه
علينا,علينا
وانا,اناا
لمهتدون,لمهتدون
ذلول,ذلول
تثير,تثير
تسقى,تسقى
الحرث,حرثرث
مسلمة,مسلمة
شية,شية
الـان,ـانان
جيت,جيت
بالحق,حقلحق
فذبحوها,فذبحوها
كادوا,كادوا
يفعلون,يفعلون
قتلتم,قتلتم
نفسا,نفسا
فاداراتم,فاداراتم
مخرج,مخرج
اضربوه,اضربوه
ببعضها,ببعضها
كذالك,كذالك
يحى,يحى
الموتىا,موتىاىا
ويريكم,يريكمم
ءاياته,ءاياته
قست,قست
قلوبكم,قلوبكم
فهى,فهى
كالحجارة,حجارةارة
اشد,اشد
قسوة,قسوة
الحجارة,حجارةرة
يتفجر,يتفجر
يشقق,يشقق
فيخرج,فيخرج
الماء,ماءاء
يهبط,يهبط
خشية,خشية
بغافل,بغافل
عما,عما
تعملون,تعملون
افتطمعون,افتطمعون
يومنوا,يومنوا
وقد,وقد
كان,كان
فريق,فريق
منهم,منهم
يسمعون,يسمعون
كلام,كلام
يحرفونه,يحرفونه
عقلوه,عقلوه
خلا,خلا
بعضهم,بعضهم
بعض,بعض
اتحدثونهم,اتحدثونهم
فتح,فتح
ليحاجوكم,ليحاجوكم
اولا,اولا
يعلم,يعلم
يسرون,يسرون
يعلنون,يعلنون
ومنهم,منهمم
اميون,اميون
امانى,امانى
فويل,فويل
للذين,ذينين
يكتبون,يكتبون
بايديهم,بايديهم
يقولون,يقولون
ليشتروا,ليشتروا
كتبت,كتبت
ايديهم,ايديهم
وويل,ويلل
يكسبون,يكسبون
وقالوا,قالواا
تمسنا,تمسنا
اياما,اياما
معدودة,معدودة
قل,قل
عهدا,عهدا
فلن,فلن
يخلف,يخلف
عهده,عهده
تقولون,تقولون
بلىا,بلىا
كسب,كسب
سيية,سيية
واحاطت,احاطتت
خطيـته,خطيـته
فاولايك,فاولايك
ميثاق,ميثاق
بنى,بنى
تعبدون,تعبدون
وبالوالدين,بالوالدينن
احسانا,احسانا
وذى,وذى
القربىا,قربىاىا
واليتامىا,يتامىامىا
والمساكين,مساكينكين
للناس,ناساس
حسنا,حسنا
معرضون,معرضون
تسفكون,تسفكون
دماءكم,دماءكم
تخرجون,تخرجون
دياركم,دياركم
اقررتم,اقررتم
تشهدون,تشهدون
انتم,انتم
تقتلون,تقتلون
وتخرجون,تخرجونن
فريقا,فريقا
ديارهم,ديارهم
تظاهرون,تظاهرون
بالاثم,اثماثم
والعدوان,عدوانوان
ياتوكم,ياتوكم
اسارىا,اسارىا
تفادوهم,تفادوهم
محرم,محرم
اخراجهم,اخراجهم
افتومنون,افتومنون
ببعض,ببعض
وتكفرون,تكفرونن
جزاء,جزاء
يفعل,يفعل
خزى,خزى
الحيواة,حيواةاة
الدنيا,دنيايا
ويوم,يومم
القيامة,قيامةمة
يردون,يردون
بالءاخرة,ءاخرةخرة
يخفف,يخفف
عنهم,عنهم
وقفينا,قفيناا
بالرسل,رسلرسل
وءاتينا,ءاتيناا
عيسى,عيسى
ابن,ابن
مريم,مريم
البينات,بيناتات
وايدناه,ايدناهه
بروح,بروح
القدس,قدسدس
افكلما,افكلما
جاءكم,جاءكم
رسول,رسول
تهوىا,تهوىا
استكبرتم,استكبرتم
ففريقا,ففريقا
كذبتم,كذبتم
وفريقا,فريقاا
قلوبنا,قلوبنا
غلف,غلف
بل,بل
لعنهم,لعنهم
بكفرهم,بكفرهم
فقليلا,فقليلا
ولما,لماا
جاءهم,جاءهم
كتاب,كتاب
مصدق,مصدق
معهم,معهم
يستفتحون,يستفتحون
عرفوا,عرفوا
فلعنة,فلعنة
بيسما,بيسما
يكفروا,يكفروا
بغيا,بغيا
ينزل,ينزل
فضله,فضله
يشاء,يشاء
عباده,عباده
فباءو,فباءو
غضب,غضب
وللكافرين,للكافرينن
مهين,مهين
ويكفرون,يكفرونن
وراءه,راءهه
فلم,فلم
انبياء,انبياء
مومنين,مومنين
بالبينات,بيناتنات
واسمعوا,اسمعواا
سمعنا,سمعنا
وعصينا,عصيناا
ايمانكم,ايمانكم
كانت,كانت
الدار,دارار
الءاخرة,ءاخرةرة
خالصة,خالصة
فتمنوا,فتمنوا
يتمنوه,يتمنوه
ابدا,ابدا
قدمت,قدمت
بالظالمين,ظالمينمين
ولتجدنهم,لتجدنهمم
احرص,احرص
حيواة,حيواة
اشركوا,اشركوا
يود,يود
احدهم,احدهم
لو,لو
يعمر,يعمر
الف,الف
سنة,سنة
بمزحزحه,بمزحزحه
بصير,بصير
يعملون,يعملون
عدوا,عدوا
لجبريل,لجبريل
فانه,فانه
نزله,نزله
قلبك,قلبك
باذن,باذن
يديه,يديه
وهدى,هدىى
وبشرىا,بشرىاا
للمومنين,مومنينين
وملايكته,ملايكتهه
ورسله,رسلهه
وجبريل,جبريلل
وميكىال,ميكىالل
انزلنا,انزلنا
ءايات,ءايات
بينات,بينات
يكفر,يكفر
بها,بها
الفاسقون,فاسقونون
اوكلما,اوكلما
عاهدوا,عاهدوا
نبذه,نبذه
اكثرهم,اكثرهم
نبذ,نبذ
اوتوا,اوتوا
وراء,راءء
ظهورهم,ظهورهم
كانهم,كانهم
واتبعوا,اتبعواا
تتلوا,تتلوا
الشياطين,شياطينين
ملك,ملك
سليمان,سليمان
كفر,كفر
السحر,سحرحر
الملكين,ملكينين
ببابل,ببابل
هاروت,هاروت
وماروت,ماروتت
يعلمان,يعلمان
احد,احد
يقولا,يقولا
فتنة,فتنة
تكفر,تكفر
فيتعلمون,فيتعلمون
منهما,منهما
يفرقون,يفرقون
المرء,مرءرء
وزوجه,زوجهه
بضارين,بضارين
ويتعلمون,يتعلمونن
يضرهم,يضرهم
ينفعهم,ينفعهم
علموا,علموا
لمن,لمن
اشترىاه,اشترىاه
له,له
خلاق,خلاق
ولبيس,لبيسس
شروا,شروا
لمثوبة,لمثوبة
تقولوا,تقولوا
راعنا,راعنا
انظرنا,انظرنا
اهل,اهل
المشركين,مشركينين
يختص,يختص
برحمته,برحمته
ذو,ذو
الفضل,فضلضل
العظيم,عظيميم
ننسخ,ننسخ
ءاية,ءاية
ننسها,ننسها
نات,نات
بخير,بخير
مثلها,مثلها
تعلم,تعلم
ولى,ولى
نصير,نصير
تريدون,تريدون
تسـلوا,تسـلوا
رسولكم,رسولكم
سيل,سيل
يتبدل,يتبدل
الكفر,كفرفر
بالايمان,ايمانمان
فقد,فقد
ضل,ضل
السبيل,سبيليل
ود,ود
كثير,كثير
يردونكم,يردونكم
كفارا,كفارا
حسدا,حسدا
تبين,تبين
فاعفوا,فاعفوا
واصفحوا,اصفحواا
ياتى,ياتى
بامره,بامره
تقدموا,تقدموا
لانفسكم,لانفسكم
تجدوه,تجدوه
يدخل,يدخل
هودا,هودا
نصارىا,نصارىا
تلك,تلك
امانيهم,امانيهم
هاتوا,هاتوا
برهانكم,برهانكم
اسلم,اسلم
وجهه,جههه
محسن,محسن
فله,فله
اجره,اجره
وقالت,قالتت
اليهود,يهودود
ليست,ليست
النصارىا,نصارىاىا
يتلون,يتلون
مثل,مثل
قولهم,قولهم
فالله,لهلله
يحكم,يحكم
بينهم,بينهم
فيما,فيما
يختلفون,يختلفون
ممن,ممن
منع,منع
مساجد,مساجد
يذكر,يذكر
اسمه,اسمه
وسعىا,سعىاا
خرابها,خرابها
يدخلوها,يدخلوها
خايفين,خايفين
ولله,للهه
المشرق,مشرقرق
والمغرب,مغربغرب
فاينما,فاينما
تولوا,تولوا
فثم,فثم
وجه,وجه
واسع,اسعع
اتخذ,اتخذ
ولدا,لداا
سبحانه,سبحانه
قانتون,قانتون
بديع,بديع
قضىا,قضىا
امرا,امرا
فانما,فانما
كن,كن
فيكون,فيكون
وقال,قالل
لولا,لولا
يكلمنا,يكلمنا
تاتينا,تاتينا
قبلهم,قبلهم
تشابهت,تشابهت
بينا,بينا
الءايات,ءاياتات
لقوم,لقوم
ارسلناك,ارسلناك
بشيرا,بشيرا
ونذيرا,نذيراا
تسـل,تسـل
الجحيم,جحيميم
ترضىا,ترضىا
عنك,عنك
تتبع,تتبع
ملتهم,ملتهم
الهدىا,هدىاىا
ولين,لينن
اتبعت,اتبعت
اهواءهم,اهواءهم
جاءك,جاءك
العلم,علملم
ءاتيناهم,ءاتيناهم
يتلونه,يتلونه
حق,حق
تلاوته,تلاوته
تنفعها,تنفعها
ابتلىا,ابتلىا
ابراهم,ابراهم
بكلمات,بكلمات
فاتمهن,فاتمهن
جاعلك,جاعلك
اماما,اماما
ذريتى,ذريتى
ينال,ينال
عهدى,عهدى
جعلنا,جعلنا
البيت,بيتيت
مثابة,مثابة
وامنا,امناا
واتخذوا,اتخذواا
مقام,مقام
مصلى,مصلى
وعهدنا,عهدناا
واسماعيل,اسماعيلل
طهرا,طهرا
بيتى,بيتى
للطايفين,طايفينين
والعاكفين,عاكفينفين
والركع,ركعركع
السجود,سجودود
اجعل,اجعل
بلدا,بلدا
وارزق,ارزقق
اهله,اهله
فامتعه,فامتعه
اضطره,اضطره
وبيس,بيسس
المصير,مصيرير
يرفع,يرفع
القواعد,قواعدعد
ربنا,ربنا
تقبل,تقبل
منا,منا
السميع,سميعيع
واجعلنا,اجعلناا
مسلمين,مسلمين
ذريتنا,ذريتنا
امة,امة
وارنا,ارناا
مناسكنا,مناسكنا
وتب,وتب
وابعث,ابعثث
فيهم,فيهم
رسولا,رسولا
يتلوا,يتلوا
ءاياتك,ءاياتك
ويعلمهم,يعلمهمم
والحكمة,حكمةكمة
ويزكيهم,يزكيهمم
العزيز,عزيزيز
يرغب,يرغب
ملة,ملة
سفه,سفه
نفسه,نفسه
اصطفيناه,اصطفيناه
وانه,انهه
الصالحين,صالحينين
اذ,اذ
اسلمت,اسلمت
لرب,لرب
ووصىا,وصىاا
بنيه,بنيه
ويعقوب,يعقوبب
اصطفىا,اصطفىا
تموتن,تموتن
مسلمون,مسلمون
شهداء,شهداء
حضر,حضر
يعقوب,يعقوب
لبنيه,لبنيه
بعدى,بعدى
الاهك,اهكهك
والاه,اهلاه
ءابايك,ءابايك
واسحاق,اسحاقق
الاها,اهاها
واحدا,احداا
خلت,خلت
لها,لها
كسبت,كسبت
كسبتم,كسبتم
تسـلون,تسـلون
تهتدوا,تهتدوا
حنيفا,حنيفا
قولوا,قولوا
الينا,ينانا
والاسباط,اسباطباط
اوتى,اوتى
وعيسىا,عيسىاا
النبيون,نبيونون
نفرق,نفرق
بمثل,بمثل
ءامنتم,ءامنتم
اهتدوا,اهتدوا
شقاق,شقاق
فسيكفيكهم,فسيكفيكهم
صبغة,صبغة
احسن,احسن
عابدون,عابدون
اتحاجوننا,اتحاجوننا
وربكم,ربكمم
ولنا,لناا
اعمالنا,اعمالنا
اعمالكم,اعمالكم
مخلصون,مخلصون
ءانتم,ءانتم
كتم,كتم
شهادة,شهادة
عنده,عنده
سيقول,سيقول
ولىاهم,لىاهمم
قبلتهم,قبلتهم
عليها,عليها
يهدى,يهدى
مستقيم,مستقيم
وكذالك,كذالكك
جعلناكم,جعلناكم
وسطا,سطاا
لتكونوا,لتكونوا
ويكون,يكونن
الرسول,رسولول
شهيدا,شهيدا
القبلة,قبلةلة
كنت,كنت
لنعلم,لنعلم
يتبع,يتبع
ينقلب,ينقلب
عقبيه,عقبيه
ليضيع,ليضيع
بالناس,ناسناس
لرءوف,لرءوف
رحيم,رحيم
نرىا,نرىا
تقلب,تقلب
وجهك,جهكك
فلنولينك,فلنولينك
قبلة,قبلة
ترضىاها,ترضىاها
فول,فول
شطر,شطر
المسجد,مسجدجد
الحرام,حرامام
وحيث,حيثث
فولوا,فولوا
وجوهكم,جوهكمم
شطره,شطره
ليعلمون,ليعلمون
اتيت,اتيت
تبعوا,تبعوا
قبلتك,قبلتك
بتابع,بتابع
اذا,اذا
يعرفونه,يعرفونه
يعرفون,يعرفون
ابناءهم,ابناءهم
ليكتمون,ليكتمون
تكونن,تكونن
الممترين,ممترينين
ولكل,لكلل
وجهة,جهةة
موليها,موليها
فاستبقوا,فاستبقوا
الخيرات,خيراتات
اين,اين
يات,يات
خرجت,خرجت
للحق,حقحق
ليلا,ليلا
يكون,يكون
حجة,حجة
تخشوهم,تخشوهم
واخشونى,اخشونىى
ولاتم,لاتمم
ولعلكم,لعلكمم
ارسلنا,ارسلنا
فيكم,فيكم
ءاياتنا,ءاياتنا
ويزكيكم,يزكيكمم
ويعلمكم,يعلمكمم
فاذكرونى,فاذكرونى
اذكركم,اذكركم
واشكروا,اشكرواا
لى,لى
استعينوا,استعينوا
الصابرين,صابرينين
يقتل,يقتل
سبيل,سبيل
اموات,اموات
احياء,احياء
تشعرون,تشعرون
ولنبلونكم,لنبلونكمم
بشىء,بشىء
الخوف,خوفوف
والجوع,جوعجوع
ونقص,نقصص
الاموال,اموالال
والانفس,انفسنفس
والثمرات,ثمراترات
اصابتهم,اصابتهم
مصيبة,مصيبة
صلوات,صلوات
ورحمة,رحمةة
المهتدون,مهتدونون
الصفا,صفافا
والمروة,مروةروة
شعاير,شعاير
حج,حج
اعتمر,اعتمر
جناح,جناح
يطوف,يطوف
بهما,بهما
تطوع,تطوع
خيرا,خيرا
شاكر,شاكر
يكتمون,يكتمون
والهدىا,هدىادىا
بيناه,بيناه
يلعنهم,يلعنهم
ويلعنهم,يلعنهمم
اللاعنون,لاعنونون
تابوا,تابوا
واصلحوا,اصلحواا
وبينوا,بينواا
اتوب,اتوب
وماتوا,ماتواا
كفار,كفار
لعنة,لعنة
والملايكة,ملايكةيكة
والناس,ناسناس
اجمعين,اجمعين
خالدين,خالدين
ينظرون,ينظرون
والاهكم,اهكمهكم
الاه,اهاه
واختلاف,اختلافف
اليل,يليل
والنهار,نهارهار
والفلك,فلكفلك
ينفع,ينفع
فاحيا,فاحيا
موتها,موتها
وبث,وبث
دابة,دابة
وتصريف,تصريفف
الرياح,رياحاح
والسحاب,سحابحاب
المسخر,مسخرخر
لءايات,لءايات
يعقلون,يعقلون
يتخذ,يتخذ
يحبونهم,يحبونهم
كحب,كحب
حبا,حبا
يرى,يرى
يرون,يرون
القوة,قوةوة
شديد,شديد
تبرا,تبرا
اتبعوا,اتبعوا
وراوا,راواا
وتقطعت,تقطعتت
الاسباب,اسباباب
كرة,كرة
فنتبرا,فنتبرا
تبرءوا,تبرءوا
يريهم,يريهم
اعمالهم,اعمالهم
حسرات,حسرات
بخارجين,بخارجين
حلالا,حلالا
طيبا,طيبا
تتبعوا,تتبعوا
خطوات,خطوات
