word,root
لَهُمْ,همم,لهم
تُفْسِدُوا۟,فسد,تفسدوا
ٱلْأَرْضِ,الارض,الارض
قَالُوٓا۟,قلو,قالوا
إِنَّمَا,انما,انما
نَحْنُ,نيح,نحن
مُصْلِحُونَ,صلح,مصلحون
أَلَآ,الا,الا
إِنَّهُمْ,همم,انهم
ٱلْمُفْسِدُونَ,فسد,المفسدون
وَلَٰكِن,لكن,ولاكن
لَّا,لا,لا
ءَامِنُوا۟,ءامنوا,ءامنوا
كَمَآ,كمم,كما
ءَامَنَ,ءامن,ءامن
ٱلنَّاسُ,نوس,الناس
أَنُؤْمِنُ,انومن,انومن
ٱلسُّفَهَآءُ,سفه,السفهاء
يَعْلَمُونَ,علم,يعلمون
لَقُوا۟,لقو,لقوا
خَلَوْا۟,خلو,خلوا
إِلَىٰ,الىا,الىا
شَيَٰطِينِهِمْ,شيط,شياطينهم
إِنَّا,انا,انا
مَعَكُمْ,معع,معكم
مُسْتَهْزِءُونَ,مستهزءون,مستهزءون
يَسْتَهْزِئُ,يستهزي,يستهزي
بِهِمْ,همم,بهم
وَيَمُدُّهُمْ,مدد,ويمدهم
طُغْيَٰنِهِمْ,طغي,طغيانهم
يَعْمَهُونَ,عمه,يعمهون
ٱشْتَرَوُا۟,شري,اشتروا
ٱلضَّلَٰلَةَ,ضلل,الضلالة
بِٱلْهُدَىٰ,بالهدىا,بالهدىا
فَمَا,فما,فما
رَبِحَت,ربح,ربحت
تِّجَٰرَتُهُمْ,تجر,تجارتهم
مُهْتَدِينَ,هدي,مهتدين
مَثَلُهُمْ,مثل,مثلهم
كَمَثَلِ,مثل,كمثل
ٱلَّذِى,الذى,الذى
ٱسْتَوْقَدَ,وقد,استوقد
نَارًا,نير,نارا
فَلَمَّآ,لمم,فلما
أَضَآءَتْ,اضاءت,اضاءت
مَا,ما,ما
حَوْلَهُۥ,حول,حوله
ذَهَبَ,ذهب,ذهب
بِنُورِهِمْ,نور,بنورهم
وَتَرَكَهُمْ,ترك,وتركهم
ظُلُمَٰتٍ,ظلم,ظلمات
يُبْصِرُونَ,بصر,يبصرون
صُمٌّۢ,صمم,صم
بُكْمٌ,كمم,بكم
عُمْىٌ,عمي,عمى
فَهُمْ,فهم,فهم
يَرْجِعُونَ,رجع,يرجعون
أَوْ,او,او
كَصَيِّبٍ,صوب,كصيب
مِّنَ,منن,من
ٱلسَّمَآءِ,سمو,السماء
ظُلُمَٰتٌ,ظلم,ظلمات
وَرَعْدٌ,رعد,ورعد
وَبَرْقٌ,برق,وبرق
يَجْعَلُونَ,جعل,يجعلون
أَصَٰبِعَهُمْ,اصابعهم,اصابعهم
فِىٓ,فى,فى
ءَاذَانِهِم,ءاذانهم,ءاذانهم
ٱلصَّوَٰعِقِ,الصواعق,الصواعق
حَذَرَ,حذر,حذر
ٱلْمَوْتِ,موت,الموت
وَٱللَّهُ,والله,والله
مُحِيطٌۢ,حوط,محيط
بِٱلْكَٰفِرِينَ,كفر,بالكافرين
يَكَادُ,كود,يكاد
ٱلْبَرْقُ,برق,البرق
يَخْطَفُ,خطف,يخطف
أَبْصَٰرَهُمْ,ابصارهم,ابصارهم
كُلَّمَآ,كلم,كلما
أَضَآءَ,اضاء,اضاء
لَهُم,همم,لهم
مَّشَوْا۟,مشي,مشوا
وَإِذَآ,واذا,واذا
أَظْلَمَ,ظلم,اظلم
قَامُوا۟,قمي,قاموا
وَلَوْ,ولو,ولو
شَآءَ,شءو,شاء
لَذَهَبَ,ذهب,لذهب
بِسَمْعِهِمْ,سمع,بسمعهم
وَأَبْصَٰرِهِمْ,وابصارهم,وابصارهم
كُلِّ,كلل,كل
شَىْءٍ,شىء,شىء
قَدِيرٌ,قدير,قدير
يَٰٓأَيُّهَا,ياايها,ياايها
ٱعْبُدُوا۟,عبد,اعبدوا
رَبَّكُمُ,ربب,ربكم
خَلَقَكُمْ,خلق,خلقكم
قَبْلِكُمْ,قبل,قبلكم
لَعَلَّكُمْ,علل,لعلكم
تَتَّقُونَ,قون,تتقون
جَعَلَ,جعل,جعل
لَكُمُ,كمم,لكم
ٱلْأَرْضَ,الارض,الارض
فِرَٰشًا,فرش,فراشا
وَٱلسَّمَآءَ,سمو,والسماء
بِنَآءً,بني,بناء
وَأَنزَلَ,نزل,وانزل
مِنَ,منن,من
مَآءً,مءو,ماء
فَأَخْرَجَ,خرج,فاخرج
بِهِۦ,بهه,به
ٱلثَّمَرَٰتِ,ثمر,الثمرات
رِزْقًا,رزق,رزقا
لَّكُمْ,كمم,لكم
فَلَا,فلل,فلا
تَجْعَلُوا۟,جعل,تجعلوا
أَندَادًا,اندادا,اندادا
وَأَنتُمْ,نمي,وانتم
تَعْلَمُونَ,علم,تعلمون
وَإِن,وني,وان
كُنتُمْ,كين,كنتم
رَيْبٍ,ريب,ريب
مِّمَّا,مما,مما
نَزَّلْنَا,نزل,نزلنا
عَبْدِنَا,عبد,عبدنا
فَأْتُوا۟,فتو,فاتوا
بِسُورَةٍ,سور,بسورة
مِّثْلِهِۦ,مثل,مثله
وَٱدْعُوا۟,ودع,وادعوا
شُهَدَآءَكُم,شهد,شهداءكم
دُونِ,دون,دون
إِن,ان,ان
صَٰدِقِينَ,صدق,صادقين
فَإِن,فان,فان
لَّمْ,لمم,لم
تَفْعَلُوا۟,فعل,تفعلوا
وَلَن,لين,ولن
فَٱتَّقُوا۟,فاتقوا,فاتقوا
ٱلنَّارَ,النار,النار
ٱلَّتِى,التى,التى
وَقُودُهَا,وقد,وقودها
وَٱلْحِجَارَةُ,حجر,والحجارة
أُعِدَّتْ,اعدت,اعدت
لِلْكَٰفِرِينَ,كفر,للكافرين
وَبَشِّرِ,بشر,وبشر
وَعَمِلُوا۟,عمل,وعملوا
ٱلصَّٰلِحَٰتِ,صلح,الصالحات
أَنَّ,ان,ان
جَنَّٰتٍ,جنن,جنات
تَجْرِى,جري,تجرى
تَحْتِهَا,حتت,تحتها
ٱلْأَنْهَٰرُ,الانهار,الانهار
كُلَّمَا,كلم,كلما
رُزِقُوا۟,رزق,رزقوا
مِنْهَا,منن,منها
ثَمَرَةٍ,ثمر,ثمرة
رِّزْقًا,رزق,رزقا
قَالُوا۟,قلو,قالوا
هَٰذَا,هذذ,هاذا
رُزِقْنَا,رزق,رزقنا
قَبْلُ,قبل,قبل
وَأُتُوا۟,واتوا,واتوا
مُتَشَٰبِهًا,شبه,متشابها
فِيهَآ,وفي,فيها
أَزْوَٰجٌ,ازواج,ازواج
مُّطَهَّرَةٌ,طهر,مطهرة
وَهُمْ,وهم,وهم
فِيهَا,وفي,فيها
خَٰلِدُونَ,خلد,خالدون
يَسْتَحْىِۦٓ,سحو,يستحى
أَن,ان,ان
يَضْرِبَ,ضرب,يضرب
مَثَلًا,مثل,مثلا
مَّا,ما,ما
بَعُوضَةً,عوض,بعوضة
فَوْقَهَا,فوق,فوقها
فَأَمَّا,فاما,فاما
فَيَعْلَمُونَ,علم,فيعلمون
أَنَّهُ,نهي,انه
ٱلْحَقُّ,حقق,الحق
وَأَمَّا,واما,واما
فَيَقُولُونَ,قول,فيقولون
مَاذَآ,ماذا,ماذا
أَرَادَ,اراد,اراد
بِهَٰذَا,بهاذا,بهاذا
يُضِلُّ,ضلل,يضل
كَثِيرًا,كثر,كثيرا
وَيَهْدِى,هدي,ويهدى
بِهِۦٓ,بهه,به
إِلَّا,الا,الا
ٱلْفَٰسِقِينَ,فسق,الفاسقين
يَنقُضُونَ,قضض,ينقضون
عَهْدَ,عهد,عهد
مِنۢ,منن,من
بَعْدِ,بعد,بعد
مِيثَٰقِهِۦ,ميثاقه,ميثاقه
وَيَقْطَعُونَ,قطع,ويقطعون
مَآ,ما,ما
أَمَرَ,مري,امر
يُوصَلَ,وصل,يوصل
وَيُفْسِدُونَ,فسد,ويفسدون
ٱلْخَٰسِرُونَ,خسر,الخاسرون
كَيْفَ,كيف,كيف
تَكْفُرُونَ,كفر,تكفرون
وَكُنتُمْ,كين,وكنتم
أَمْوَٰتًا,امواتا,امواتا
فَأَحْيَٰكُمْ,فحو,فاحياكم
ثُمَّ,ثمم,ثم
يُمِيتُكُمْ,يمم,يميتكم
يُحْيِيكُمْ,حيي,يحييكم
إِلَيْهِ,اليه,اليه
تُرْجَعُونَ,رجع,ترجعون
هُوَ,هو,هو
خَلَقَ,خلق,خلق
لَكُم,كمم,لكم
جَمِيعًا,جميعا,جميعا
ٱسْتَوَىٰٓ,استوىا,استوىا
إِلَى,الى,الى
فَسَوَّىٰهُنَّ,فسوىاهن,فسوىاهن
سَبْعَ,سبع,سبع
سَمَٰوَٰتٍ,سمو,سماوات
وَهُوَ,وهو,وهو
بِكُلِّ,بكل,بكل
عَلِيمٌ,عليم,عليم
وَإِذْ,وذي,واذ
قَالَ,قول,قال
رَبُّكَ,ربب,ربك
لِلْمَلَٰٓئِكَةِ,ملك,للملايكة
إِنِّى,انى,انى
جَاعِلٌ,جعل,جاعل
خَلِيفَةً,خليفة,خليفة
أَتَجْعَلُ,اتجعل,اتجعل
يُفْسِدُ,فسد,يفسد
وَيَسْفِكُ,سفك,ويسفك
ٱلدِّمَآءَ,دمي,الدماء
وَنَحْنُ,نيح,ونحن
نُسَبِّحُ,سبح,نسبح
بِحَمْدِكَ,حمد,بحمدك
وَنُقَدِّسُ,قدس,ونقدس
لَكَ,لكك,لك
إِنِّىٓ,انى,انى
أَعْلَمُ,علم,اعلم
وَعَلَّمَ,علم,وعلم
ءَادَمَ,ءادم,ءادم
ٱلْأَسْمَآءَ,الاسماء,الاسماء
كُلَّهَا,كلل,كلها
عَرَضَهُمْ,عرض,عرضهم
عَلَى,علو,على
ٱلْمَلَٰٓئِكَةِ,ملك,الملايكة
فَقَالَ,قول,فقال
أَنۢبِـُٔونِى,انبـونى,انبـونى
بِأَسْمَآءِ,باسماء,باسماء
هَٰٓؤُلَآءِ,هاولاء,هاولاء
سُبْحَٰنَكَ,سبح,سبحانك
عِلْمَ,علم,علم
لَنَآ,لنا,لنا
عَلَّمْتَنَآ,علم,علمتنا
إِنَّكَ,نكي,انك
أَنتَ,نتو,انت
ٱلْعَلِيمُ,علم,العليم
ٱلْحَكِيمُ,حكم,الحكيم
يَٰٓـَٔادَمُ,ياـادم,ياـادم
أَنۢبِئْهُم,انبيهم,انبيهم
بِأَسْمَآئِهِمْ,باسمايهم,باسمايهم
أَنۢبَأَهُم,انباهم,انباهم
أَلَمْ,لمي,الم
أَقُل,قلي,اقل
غَيْبَ,غيب,غيب
ٱلسَّمَٰوَٰتِ,سمو,السماوات
وَٱلْأَرْضِ,والارض,والارض
وَأَعْلَمُ,علم,واعلم
تُبْدُونَ,بدي,تبدون
تَكْتُمُونَ,كمي,تكتمون
قُلْنَا,قلل,قلنا
ٱسْجُدُوا۟,سجد,اسجدوا
لِءَادَمَ,لءادم,لءادم
فَسَجَدُوٓا۟,سجد,فسجدوا
إِبْلِيسَ,ابليس,ابليس
أَبَىٰ,ابىا,ابىا
وَٱسْتَكْبَرَ,كبر,واستكبر
وَكَانَ,وكن,وكان
ٱلْكَٰفِرِينَ,كفر,الكافرين
وَقُلْنَا,وقل,وقلنا
ٱسْكُنْ,سكن,اسكن
وَزَوْجُكَ,زوج,وزوجك
ٱلْجَنَّةَ,جنن,الجنة
وَكُلَا,كلل,وكلا
رَغَدًا,رغد,رغدا
حَيْثُ,حيث,حيث
شِئْتُمَا,شيتما,شيتما
تَقْرَبَا,قرب,تقربا
هَٰذِهِ,هذذ,هاذه
ٱلشَّجَرَةَ,شجر,الشجرة
فَتَكُونَا,كون,فتكونا
ٱلظَّٰلِمِينَ,ظلم,الظالمين
فَأَزَلَّهُمَا,فازلهما,فازلهما
ٱلشَّيْطَٰنُ,شيطن,الشيطان
عَنْهَا,عنن,عنها
فَأَخْرَجَهُمَا,فاخرجهما,فاخرجهما
مِمَّا,مما,مما
كَانَا,كنن,كانا
ٱهْبِطُوا۟,هبط,اهبطوا
بَعْضُكُمْ,بعض,بعضكم
لِبَعْضٍ,بعض,لبعض
عَدُوٌّ,عدو,عدو
وَلَكُمْ,كمم,ولكم
مُسْتَقَرٌّ,قرر,مستقر
وَمَتَٰعٌ,متع,ومتاع
حِينٍ,حين,حين
فَتَلَقَّىٰٓ,لقي,فتلقىا
ءَادَمُ,ءادم,ءادم
رَّبِّهِۦ,ربب,ربه
كَلِمَٰتٍ,كلم,كلمات
فَتَابَ,تبب,فتاب
عَلَيْهِ,علو,عليه
إِنَّهُۥ,نهي,انه
ٱلتَّوَّابُ,توب,التواب
ٱلرَّحِيمُ,رحم,الرحيم
فَإِمَّا,فاما,فاما
يَأْتِيَنَّكُم,ياتينكم,ياتينكم
مِّنِّى,منى,منى
فَمَن,منن,فمن
تَبِعَ,تبع,تبع
هُدَاىَ,هداى,هداى
خَوْفٌ,خوف,خوف
يَحْزَنُونَ,حزن,يحزنون
وَكَذَّبُوا۟,كذب,وكذبوا
بِـَٔايَٰتِنَآ,بـاياتنا,بـاياتنا
أَصْحَٰبُ,اصحاب,اصحاب
ٱلنَّارِ,النار,النار
يَٰبَنِىٓ,يابنى,يابنى
إِسْرَٰٓءِيلَ,اسراءيل,اسراءيل
ٱذْكُرُوا۟,ذكر,اذكروا
نِعْمَتِىَ,نعمتى,نعمتى
ٱلَّتِىٓ,التى,التى
أَنْعَمْتُ,انعمت,انعمت
عَلَيْكُمْ,علو,عليكم
وَأَوْفُوا۟,واوفوا,واوفوا
بِعَهْدِىٓ,بعهدى,بعهدى
أُوفِ,اوف,اوف
بِعَهْدِكُمْ,عهد,بعهدكم
وَإِيَّٰىَ,واياى,واياى
فَٱرْهَبُونِ,فارهبون,فارهبون
وَءَامِنُوا۟,وءامنوا,وءامنوا
أَنزَلْتُ,زيل,انزلت
مُصَدِّقًا,صدق,مصدقا
لِّمَا,لمم,لما
تَكُونُوٓا۟,كون,تكونوا
أَوَّلَ,اول,اول
كَافِرٍۭ,كفر,كافر
تَشْتَرُوا۟,شتر,تشتروا
بِـَٔايَٰتِى,بـاياتى,بـاياتى
ثَمَنًا,ثمن,ثمنا
قَلِيلًا,قلل,قليلا
فَٱتَّقُونِ,فتق,فاتقون
تَلْبِسُوا۟,لبس,تلبسوا
ٱلْحَقَّ,حقق,الحق
بِٱلْبَٰطِلِ,بطل,بالباطل
وَتَكْتُمُوا۟,كمي,وتكتموا
وَأَقِيمُوا۟,واقيموا,واقيموا
وَءَاتُوا۟,وءاتوا,وءاتوا
ٱلزَّكَوٰةَ,الزكواة,الزكواة
وَٱرْكَعُوا۟,ركع,واركعوا
مَعَ,معع,مع
ٱلرَّٰكِعِينَ,ركع,الراكعين
أَتَأْمُرُونَ,اتامرون,اتامرون
ٱلنَّاسَ,نوس,الناس
بِٱلْبِرِّ,برر,بالبر
وَتَنسَوْنَ,نسي,وتنسون
أَنفُسَكُمْ,نفس,انفسكم
تَتْلُونَ,تلي,تتلون
ٱلْكِتَٰبَ,كتب,الكتاب
أَفَلَا,افلا,افلا
تَعْقِلُونَ,عقل,تعقلون
وَٱسْتَعِينُوا۟,عون,واستعينوا
بِٱلصَّبْرِ,صبر,بالصبر
وَٱلصَّلَوٰةِ,والصلواة,والصلواة
وَإِنَّهَا,وانها,وانها
لَكَبِيرَةٌ,كبر,لكبيرة
ٱلْخَٰشِعِينَ,خشع,الخاشعين
يَظُنُّونَ,ظنن,يظنون
أَنَّهُم,همم,انهم
مُّلَٰقُوا۟,ملاقوا,ملاقوا
رَبِّهِمْ,ربب,ربهم
وَأَنَّهُمْ,همم,وانهم
رَٰجِعُونَ,رجع,راجعون
وَأَنِّى,وانى,وانى
فَضَّلْتُكُمْ,فضل,فضلتكم
وَٱتَّقُوا۟,واتقوا,واتقوا
يَوْمًا,يوم,يوما
تَجْزِى,جزي,تجزى
نَفْسٌ,نفس,نفس
عَن,عنن,عن
نَّفْسٍ,نفس,نفس
شَيْـًٔا,وشي,شيـا
يُقْبَلُ,قبل,يقبل
شَفَٰعَةٌ,شفع,شفاعة
يُؤْخَذُ,يوخذ,يوخذ
عَدْلٌ,عدل,عدل
يُنصَرُونَ,نصر,ينصرون
نَجَّيْنَٰكُم,نجو,نجيناكم
مِّنْ,منن,من
ءَالِ,ءال,ءال
فِرْعَوْنَ,فرعن,فرعون
يَسُومُونَكُمْ,سوم,يسومونكم
سُوٓءَ,سوء,سوء
ٱلْعَذَابِ,عذب,العذاب
يُذَبِّحُونَ,ذبح,يذبحون
أَبْنَآءَكُمْ,ابناءكم,ابناءكم
وَيَسْتَحْيُونَ,حيي,ويستحيون
نِسَآءَكُمْ,نسء,نساءكم
وَفِى,وفي,وفى
ذَٰلِكُم,ذلل,ذالكم
بَلَآءٌ,بلي,بلاء
رَّبِّكُمْ,ربب,ربكم
فَرَقْنَا,فرق,فرقنا
بِكُمُ,كمم,بكم
ٱلْبَحْرَ,بحر,البحر
فَأَنجَيْنَٰكُمْ,فانجيناكم,فانجيناكم
وَأَغْرَقْنَآ,واغرقنا,واغرقنا
ءَالَ,ءال,ءال
تَنظُرُونَ,نظر,تنظرون
وَٰعَدْنَا,وعد,واعدنا
مُوسَىٰٓ,موسىا,موسىا
أَرْبَعِينَ,اربعين,اربعين
لَيْلَةً,ليل,ليلة
ٱتَّخَذْتُمُ,اتخذتم,اتخذتم
ٱلْعِجْلَ,عجل,العجل
بَعْدِهِۦ,بعد,بعده
ظَٰلِمُونَ,ظلم,ظالمون
عَفَوْنَا,عفو,عفونا
عَنكُم,عنن,عنكم
مِّنۢ,منن,من
تَشْكُرُونَ,شكر,تشكرون
ءَاتَيْنَا,ءاتينا,ءاتينا
مُوسَى,موسى,موسى
وَٱلْفُرْقَانَ,فرق,والفرقان
تَهْتَدُونَ,هدي,تهتدون
مُوسَىٰ,موسىا,موسىا
لِقَوْمِهِۦ,قوم,لقومه
يَٰقَوْمِ,ياقوم,ياقوم
إِنَّكُمْ,كمي,انكم
ظَلَمْتُمْ,ظلم,ظلمتم
أَنفُسَكُم,نفس,انفسكم
بِٱتِّخَاذِكُمُ,تخذ,باتخاذكم
فَتُوبُوٓا۟,توب,فتوبوا
بَارِئِكُمْ,بري,باريكم
فَٱقْتُلُوٓا۟,قتل,فاقتلوا
ذَٰلِكُمْ,ذلل,ذالكم
خَيْرٌ,خير,خير
عِندَ,عند,عند
قُلْتُمْ,قيل,قلتم
يَٰمُوسَىٰ,ياموسىا,ياموسىا
لَن,لين,لن
نُّؤْمِنَ,نوم,نومن
حَتَّىٰ,حتىا,حتىا
نَرَى,نرى,نرى
جَهْرَةً,جهر,جهرة
فَأَخَذَتْكُمُ,فخذ,فاخذتكم
ٱلصَّٰعِقَةُ,صعق,الصاعقة
بَعَثْنَٰكُم,بعث,بعثناكم
مَوْتِكُمْ,موت,موتكم
وَظَلَّلْنَا,ظلل,وظللنا
عَلَيْكُمُ,علو,عليكم
ٱلْغَمَامَ,غمم,الغمام
وَأَنزَلْنَا,زيل,وانزلنا
ٱلْمَنَّ,منن,المن
وَٱلسَّلْوَىٰ,والسلوىا,والسلوىا
كُلُوا۟,كلو,كلوا
طَيِّبَٰتِ,طيب,طيبات
رَزَقْنَٰكُمْ,رزق,رزقناكم
ظَلَمُونَا,ظلم,ظلمونا
كَانُوٓا۟,كين,كانوا
يَظْلِمُونَ,ظلم,يظلمون
ٱدْخُلُوا۟,دخل,ادخلوا
ٱلْقَرْيَةَ,قري,القرية
فَكُلُوا۟,كلو,فكلوا
شِئْتُمْ,شيتم,شيتم
وَٱدْخُلُوا۟,دخل,وادخلوا
ٱلْبَابَ,بوب,الباب
سُجَّدًا,سجد,سجدا
وَقُولُوا۟,قول,وقولوا
حِطَّةٌ,حطط,حطة
نَّغْفِرْ,غفر,نغفر
لَكُمْ,كمم,لكم
خَطَٰيَٰكُمْ,خطء,خطاياكم
وَسَنَزِيدُ,زود,وسنزيد
ٱلْمُحْسِنِينَ,حسن,المحسنين
فَبَدَّلَ,بدل,فبدل
ظَلَمُوا۟,ظلم,ظلموا
قَوْلًا,قول,قولا
غَيْرَ,غير,غير
فَأَنزَلْنَا,زيل,فانزلنا
رِجْزًا,رجز,رجزا
يَفْسُقُونَ,فسق,يفسقون
وَإِذِ,وذي,واذ
ٱسْتَسْقَىٰ,سقي,استسقىا
فَقُلْنَا,قلل,فقلنا
ٱضْرِب,ضرب,اضرب
بِّعَصَاكَ,بعصاك,بعصاك
ٱلْحَجَرَ,حجر,الحجر
فَٱنفَجَرَتْ,فجر,فانفجرت
مِنْهُ,منن,منه
ٱثْنَتَا,ثنت,اثنتا
عَشْرَةَ,عشرة,عشرة
عَيْنًا,عين,عينا
قَدْ,قدد,قد
عَلِمَ,علم,علم
كُلُّ,كلل,كل
أُنَاسٍ,اناس,اناس
مَّشْرَبَهُمْ,شرب,مشربهم
وَٱشْرَبُوا۟,شرب,واشربوا
رِّزْقِ,رزق,رزق
تَعْثَوْا۟,عثو,تعثوا
مُفْسِدِينَ,فسد,مفسدين
نَّصْبِرَ,صبر,نصبر
طَعَامٍ,طعم,طعام
وَٰحِدٍ,وحد,واحد
فَٱدْعُ,فدع,فادع
لَنَا,لنا,لنا
رَبَّكَ,ربب,ربك
يُخْرِجْ,خرج,يخرج
تُنۢبِتُ,نبت,تنبت
ٱلْأَرْضُ,الارض,الارض
بَقْلِهَا,بقل,بقلها
وَقِثَّآئِهَا,قثي,وقثايها
وَفُومِهَا,وفومها,وفومها
وَعَدَسِهَا,عدس,وعدسها
وَبَصَلِهَا,بصل,وبصلها
أَتَسْتَبْدِلُونَ,اتستبدلون,اتستبدلون
أَدْنَىٰ,ادنىا,ادنىا
بِٱلَّذِى,بالذى,بالذى
مِصْرًا,مصر,مصرا
فَإِنَّ,فان,فان
سَأَلْتُمْ,سالتم,سالتم
وَضُرِبَتْ,ضرب,وضربت
عَلَيْهِمُ,علو,عليهم
ٱلذِّلَّةُ,ذلل,الذلة
وَٱلْمَسْكَنَةُ,سكن,والمسكنة
وَبَآءُو,وباءو,وباءو
بِغَضَبٍ,غضب,بغضب
بِأَنَّهُمْ,بون,بانهم
يَكْفُرُونَ,كفر,يكفرون
بِـَٔايَٰتِ,بـايات,بـايات
وَيَقْتُلُونَ,قتل,ويقتلون
ٱلنَّبِيِّۦنَ,النبين,النبين
بِغَيْرِ,غير,بغير
ٱلْحَقِّ,حقق,الحق
عَصَوا۟,عصو,عصوا
وَّكَانُوا۟,كين,وكانوا
يَعْتَدُونَ,عتد,يعتدون
هَادُوا۟,هود,هادوا
وَٱلنَّصَٰرَىٰ,والنصارىا,والنصارىا
وَٱلصَّٰبِـِٔينَ,صبب,والصابـين
مَنْ,منن,من
وَٱلْيَوْمِ,يوم,واليوم
وَعَمِلَ,عمل,وعمل
صَٰلِحًا,صلح,صالحا
فَلَهُمْ,فلل,فلهم
أَجْرُهُمْ,اجرهم,اجرهم
أَخَذْنَا,اخذنا,اخذنا
مِيثَٰقَكُمْ,ميثاقكم,ميثاقكم
وَرَفَعْنَا,رفع,ورفعنا
فَوْقَكُمُ,فوق,فوقكم
ٱلطُّورَ,طور,الطور
خُذُوا۟,خذو,خذوا
ءَاتَيْنَٰكُم,ءاتيناكم,ءاتيناكم
بِقُوَّةٍ,قوي,بقوة
وَٱذْكُرُوا۟,ذكر,واذكروا
تَوَلَّيْتُم,ولي,توليتم
فَلَوْلَا,فلولا,فلولا
فَضْلُ,فضل,فضل
وَرَحْمَتُهُۥ,رحم,ورحمته
لَكُنتُم,لكن,لكنتم
ٱلْخَٰسِرِينَ,خسر,الخاسرين
وَلَقَدْ,قدد,ولقد
عَلِمْتُمُ,علم,علمتم
ٱعْتَدَوْا۟,عدد,اعتدوا
مِنكُمْ,منن,منكم
