word,root
فاخرج,خرج
به,به
الثمرات,ثمر
رزقا,رزق
فلا,فلا
تجعلوا,جعل
اندادا,داد
وانتم,وان
تعلمون,علم
وان,وان
كنتم,كنتم
مما,مما
نزلنا,نزل
عبدنا,عبد
فاتوا,فات
بسورة,بسر
مثله,ثله
وادعوا,ودع
شهداءكم,شهداء
دون,دون
صادقين,صدق
فان,فان
تفعلوا,فعل
ولن,ولن
فاتقوا,فتق
النار,نار
التى,لتى
وقودها,وقد
والحجارة,حجر
اعدت,اعد
للكافرين,كفر
وبشر,بشر
وعملوا,عمل
الصالحات,صلح
جنات,جنت
تجرى,جرى
تحتها,تحت
الانهار,هار
رزقوا,رزق
منها,منها
ثمرة,ثمر
هاذا,هذا
رزقنا,رزق
قبل,قبل
واتوا,وات
متشابها,تشب
فيها,فيه
ازواج,زوج
مطهرة,طهر
وهم,وهم
خالدون,خلد
يستحى,سحى
يضرب,ضرب
مثلا,ثلا
بعوضة,بعض
فوقها,فوق
فاما,فما
فيعلمون,علم
انه,انه
الحق,لحق
واما,وما
فيقولون,يقل
ماذا,اذا
اراد,ارد
بهاذا,بهذ
يضل,يضل
كثيرا,كثر
ويهدى,هدى
الفاسقين,فسق
ينقضون,نقض
عهد,عهد
بعد,بعد
ميثاقه,يثق
ويقطعون,قطع
امر,امر
يوصل,وصل
ويفسدون,فسد
الخاسرون,خسر
كيف,كيف
تكفرون,كفر
وكنتم,وكن
امواتا,موت
فاحياكم,فحي
ثم,ثم
يميتكم,يمت
يحييكم,يحي
اليه,اليه
ترجعون,رجع
هو,هو
خلق,خلق
جميعا,جمع
استوىا,وىا
الى,الى
فسوىاهن,فسى
سبع,سبع
سماوات,سمو
وهو,وهو
بكل,بكل
عليم,علم
واذ,واذ
قال,قال
ربك,ربك
للملايكة,لاك
انى,انى
جاعل,جعل
خليفة,خلف
اتجعل,جعل
يفسد,فسد
ويسفك,يسف
الدماء,دمء
ونحن,ونح
نسبح,سبح
بحمدك,حمد
ونقدس,قدس
لك,لك
اعلم,علم
وعلم,علم
ءادم,ءدم
الاسماء,سمء
كلها,كله
عرضهم,عرض
على,على
الملايكة,لاك
فقال,فقل
انبـونى,ـونى
باسماء,سمء
هاولاء,هاولاء
سبحانك,سبح
علم,علم
لنا,لنا
علمتنا,علم
انك,انك
انت,انت
العليم,علم
الحكيم,حكم
ياـادم,ـدم
انبيهم,انب
باسمايهم,بسم
انباهم,انب
اقل,اقل
غيب,غيب
السماوات,سمو
والارض,ارض
واعلم,علم
تبدون,تبد
تكتمون,كتم
قلنا,قلن
اسجدوا,سجد
لءادم,ءدم
فسجدوا,سجد
ابليس,بلس
ابىا,ابى
واستكبر,كبر
وكان,وكان
الكافرين,كفر
وقلنا,وقل
اسكن,اسك
وزوجك,وزج
الجنة,جنة
وكلا,وكل
رغدا,رغد
حيث,حيث
شيتما,شيت
تقربا,قرب
هاذه,هذه
الشجرة,شجر
فتكونا,تكو
الظالمين,ظلم
فازلهما,فزل
الشيطان,شيط
عنها,عنه
فاخرجهما,خرج
كانا,كنا
اهبطوا,هبط
بعضكم,بعض
لبعض,بعض
عدو,عدو
ولكم,لكم
مستقر,سقر
ومتاع,تاع
حين,حين
فتلقىا,لقى
ربه,ربه
كلمات,كلم
فتاب,فتب
عليه,عليه
التواب,توب
ياتينكم,اين
منى,منى
فمن,فمن
تبع,تبع
هداى,هدى
خوف,خوف
يحزنون,يحز
وكذبوا,كذب
بـاياتنا,بـي
اصحاب,صحب
يابنى,بنى
اسراءيل,راءيل
اذكروا,ذكر
نعمتى,عمتى
عليكم,علي
واوفوا,ووف
بعهدى,عهدى
اوف,اوف
بعهدكم,عهد
واياى,ايى
فارهبون,رهب
وءامنوا,وءم
انزلت,زلت
مصدقا,صدق
لما,لما
تكونوا,تكن
اول,اول
كافر,كفر
تشتروا,شتر
بـاياتى,ـاياتى
ثمنا,ثمن
قليلا,قلل
فاتقون,فتق
تلبسوا,لبس
بالباطل,بطل
وتكتموا,كتم
واقيموا,اقم
وءاتوا,وءت
الزكواة,زكا
واركعوا,ركع
مع,مع
الراكعين,ركع
اتامرون,تمر
بالبر,لبر
وتنسون,تنس
انفسكم,نفس
تتلون,تتل
افلا,افل
تعقلون,عقل
واستعينوا,ستع
بالصبر,صبر
والصلواة,صلا
وانها,وان
لكبيرة,كبر
الخاشعين,خشع
يظنون,يظن
ملاقوا,لاق
وانهم,وان
راجعون,رجع
وانى,ونى
فضلتكم,فضل
واتقوا,وتق
يوما,يوم
تجزى,جزى
نفس,نفس
عن,عن
شيـا,شيـ
يقبل,قبل
شفاعة,شفع
يوخذ,وخذ
عدل,عدل
ينصرون,نصر
نجيناكم,نجن
ءال,ءال
فرعون,فرع
يسومونكم,ومو
سوء,سوء
العذاب,عذب
يذبحون,ذبح
ابناءكم,بنء
ويستحيون,ستح
نساءكم,نسء
وفى,وفى
ذالكم,ذال
بلاء,بلء
فرقنا,فرق
البحر,بحر
فانجيناكم,فنج
واغرقنا,غرق
تنظرون,نظر
واعدنا,وعد
موسىا,وسى
اربعين,ربع
ليلة,ليل
اتخذتم,تخذ
العجل,عجل
بعده,بعد
ظالمون,ظلم
عفونا,عفو
عنكم,عنكم
تشكرون,شكر
ءاتينا,ءتي
موسى,وسى
والفرقان,فرق
تهتدون,هتد
لقومه,لقم
ياقوم,يقم
انكم,نكم
ظلمتم,ظلم
باتخاذكم,تخذ
فتوبوا,فتب
باريكم,بري
فاقتلوا,قتل
خير,خير
عند,عند
قلتم,قلتم
ياموسىا,وسى
لن,لن
نومن,نوم
حتىا,حتى
نرى,نرى
جهرة,جهر
فاخذتكم,فخذ
الصاعقة,صعق
بعثناكم,بعث
موتكم,موت
وظللنا,ظلل
الغمام,غمم
وانزلنا,نزل
المن,الم
والسلوىا,سلى
كلوا,كلا
طيبات,طيب
رزقناكم,رزق
ظلمونا,ظلمو
يظلمون,ظلم
ادخلوا,دخل
القرية,قرة
فكلوا,فكل
شيتم,شيتم
وادخلوا,دخل
الباب,باب
سجدا,سجد
وقولوا,وقل
حطة,حطة
نغفر,غفر
خطاياكم,خطي
وسنزيد,نزد
المحسنين,حسن
فبدل,بدل
ظلموا,ظلم
قولا,قول
فانزلنا,نزل
رجزا,رجز
يفسقون,فسق
استسقىا,سقى
فقلنا,فقل
اضرب,ضرب
بعصاك,بعص
الحجر,حجر
فانفجرت,فجر
منه,منه
اثنتا,اثن
عشرة,عشر
عينا,عين
قد,قد
اناس,انس
مشربهم,شرب
واشربوا,شرب
رزق,رزق
تعثوا,تعث
مفسدين,فسد
نصبر,صبر
طعام,طعم
واحد,وحد
فادع,فدع
يخرج,خرج
تنبت,تنب
بقلها,بقل
وقثايها,وقث
وفومها,وفم
وعدسها,عدس
وبصلها,بصل
اتستبدلون,بدل
ادنىا,دنى
بالذى,لذى
مصرا,صرا
سالتم,سال
وضربت,ضرب
الذلة,ذلة
والمسكنة,سكن
وباءو,بءو
بغضب,غضب
بانهم,بان
يكفرون,كفر
بـايات,بـي
ويقتلون,قتل
النبين,نبن
بغير,بغر
عصوا,عصا
وكانوا,وكن
يعتدون,عتد
هادوا,هاد
والنصارىا,صرى
والصابـين,صبـ
واليوم,يوم
وعمل,عمل
صالحا,صلح
فلهم,لهم
اجرهم,اجر
اخذنا,اخذ
ميثاقكم,يثق
ورفعنا,رفع
فوقكم,فوق
الطور,طور
خذوا,خذا
ءاتيناكم,ءتي
بقوة,بقة
واذكروا,ذكر
توليتم,تول
فلولا,فلل
فضل,فضل
ورحمته,رحم
لكنتم,لكن
الخاسرين,خسر
ولقد,لقد
علمتم,علم
اعتدوا,عتد
منكم,نكم
السبت,سبت
كونوا,كون
قردة,قرد
خاسـين,خسـ
فجعلناها,جعل
نكالا,نكل
بين,بين
يديها,يدي
خلفها,خلف
وموعظة,وعظ
يامركم,يمر
تذبحوا,ذبح
بقرة,بقر
اتتخذنا,تخذ
هزوا,هزا
اعوذ,اعذ
اكون,اكن
الجاهلين,جهل
ادع,ادع
يبين,يبن
هى,هى
انها,انه
فارض,فرض
بكر,بكر
عوان,عون
فافعلوا,فعل
تومرون,ومر
لونها,لون
صفراء,صفراء
فاقع,فقع
تسر,تسر
الناظرين,نظر
البقر,بقر
تشابه,شبه
علينا,علي
وانا,ونا
لمهتدون,هتد
ذلول,ذلل
تثير,تثر
تسقى,سقى
الحرث,حرث
مسلمة,سلم
شية,شية
الـان,ـان
جيت,جيت
بالحق,لحق
فذبحوها,ذبحو
كادوا,كاد
يفعلون,فعل
قتلتم,قتل
نفسا,نفس
فاداراتم,ادر
مخرج,خرج
اضربوه,ضربو
ببعضها,بعض
كذالك,كذل
يحى,يحى
الموتىا,وىا
ويريكم,وير
ءاياته,ءيا
قست,قست
قلوبكم,قلب
فهى,فهى
كالحجارة,حجر
اشد,اشد
قسوة,قسة
الحجارة,حجر
يتفجر,فجر
يشقق,شقق
فيخرج,خرج
الماء,ماء
يهبط,هبط
خشية,خشة
بغافل,غفل
عما,عما
تعملون,عمل
افتطمعون,طمع
يومنوا,يوم
وقد,وقد
كان,كان
فريق,فرق
منهم,نهم
يسمعون,سمع
كلام,كلم
يحرفونه,حرفو
عقلوه,عقلو
خلا,خلا
بعضهم,بعض
بعض,بعض
اتحدثونهم,حدثو
فتح,فتح
ليحاجوكم,حجو
اولا,اول
يعلم,علم
يسرون,يسر
يعلنون,يعل
ومنهم,ومن
اميون,امي
امانى,منى
فويل,فول
للذين,ذين
يكتبون,كتب
بايديهم,بيد
يقولون,يقل
ليشتروا,شتر
كتبت,كتب
ايديهم,ايد
وويل,ويل
يكسبون,كسب
وقالوا,وقل
تمسنا,تمس
اياما,ايا
معدودة,عدد
قل,قل
عهدا,عهد
فلن,فلن
يخلف,خلف
عهده,عهد
تقولون,تقل
بلىا,بلى
كسب,كسب
سيية,سية
واحاطت,احط
خطيـته,خطـ
فاولايك,فول
ميثاق,يثق
بنى,بنى
تعبدون,عبد
وبالوالدين,وبالوالد
احسانا,احس
وذى,وذى
القربىا,قربى
واليتامىا,تمى
والمساكين,ساك
للناس,ناس
حسنا,حسن
معرضون,عرض
تسفكون,تسف
دماءكم,دمء
تخرجون,خرج
دياركم,دير
اقررتم,قرر
تشهدون,شهد
انتم,نتم
تقتلون,قتل
وتخرجون,خرج
فريقا,فرق
ديارهم,دير
تظاهرون,ظهر
بالاثم,اثم
والعدوان,عدو
ياتوكم,يتو
اسارىا,سرى
تفادوهم,فدو
محرم,حرم
اخراجهم,خرج
افتومنون,فوم
ببعض,بعض
وتكفرون,كفر
جزاء,جزء
يفعل,فعل
خزى,خزى
الحيواة,حيا
الدنيا,دنا
ويوم,ويم
القيامة,قيم
يردون,يرد
بالءاخرة,ءخر
يخفف,خفف
عنهم,عنهم
وقفينا,وقف
بالرسل,رسل
وءاتينا,وءت
عيسى,عيسى
ابن,ابن
مريم,ريم
البينات,بين
وايدناه,ويد
بروح,برح
القدس,قدس
افكلما,فكل
جاءكم,جاء
رسول,رسل
تهوىا,تهى
استكبرتم,كبر
ففريقا,فرق
كذبتم,كذب
وفريقا,فرق
قلوبنا,قلب
غلف,غلف
بل,بل
لعنهم,لعن
بكفرهم,كفر
فقليلا,قلل
ولما,ولم
جاءهم,جاء
كتاب,كتب
مصدق,صدق
معهم,عهم
يستفتحون,فتح
عرفوا,عرف
فلعنة,فلع
بيسما,بيس
يكفروا,كفر
بغيا,بغا
ينزل,نزل
فضله,فضل
يشاء,يشء
عباده,عبد
فباءو,بءو
غضب,غضب
وللكافرين,كفر
مهين,هين
ويكفرون,كفر
وراءه,ورء
فلم,فلم
انبياء,بيء
مومنين,ومن
بالبينات,بين
واسمعوا,سمع
سمعنا,سمع
وعصينا,وعص
ايمانكم,يمن
كانت,كانت
الدار,دار
الءاخرة,ءخر
خالصة,خلص
فتمنوا,فتم
يتمنوه,منو
ابدا,ابد
قدمت,قدم
بالظالمين,ظلم
ولتجدنهم,تجد
احرص,حرص
حيواة,حيا
اشركوا,اشر
يود,يود
احدهم,احد
لو,لو
يعمر,عمر
الف,الف
سنة,سنة
بمزحزحه,زحزح
بصير,بصر
يعملون,عمل
عدوا,عدا
لجبريل,جبريل
فانه,فانه
نزله,نزل
قلبك,قلب
باذن,بذن
يديه,يده
وهدى,هدى
وبشرىا,شرى
للمومنين,ومن
وملايكته,وملايكته
ورسله,رسل
وجبريل,جبريل
وميكىال,ميكىال
انزلنا,نزل
ءايات,ءاي
بينات,بين
يكفر,كفر
بها,بها
الفاسقون,فسق
اوكلما,وكل
عاهدوا,عهد
نبذه,نبذ
اكثرهم,كثر
نبذ,نبذ
اوتوا,اوت
وراء,ورء
ظهورهم,ظهر
كانهم,كان
واتبعوا,تبع
تتلوا,تتل
الشياطين,شيط
ملك,ملك
سليمان,سلم
كفر,كفر
السحر,سحر
الملكين,ملك
ببابل,ببل
هاروت,هرت
وماروت,ارو
يعلمان,علم
احد,احد
يقولا,يقل
فتنة,فتن
تكفر,كفر
فيتعلمون,علم
منهما,منه
يفرقون,فرق
المرء,مرء
وزوجه,وزج
بضارين,بضر
ويتعلمون,علم
يضرهم,يضر
ينفعهم,نفع
علموا,علم
لمن,لمن
اشترىاه,شرى
له,له
خلاق,خلق
ولبيس,لبس
شروا,شرا
لمثوبة,ثوب
تقولوا,تقل
راعنا,راع
انظرنا,نظر
اهل,اهل
المشركين,شرك
يختص,ختص
برحمته,رحم
ذو,ذو
الفضل,فضل
العظيم,عظم
ننسخ,نسخ
ءاية,ءية
ننسها,ننس
نات,نات
بخير,بخر
مثلها,مثل
تعلم,علم
ولى,ولى
نصير,نصر
تريدون,ترد
تسـلوا,سـل
رسولكم,رسل
سيل,سيل
يتبدل,بدل
الكفر,كفر
بالايمان,ايم
فقد,فقد
ضل,ضل
السبيل,سبل
ود,ود
كثير,كثر
يردونكم,ردو
كفارا,كفر
حسدا,حسد
تبين,تبن
فاعفوا,فعف
واصفحوا,صفح
ياتى,يتى
بامره,بمر
تقدموا,قدم
لانفسكم,نفس
تجدوه,جدو
يدخل,دخل
هودا,هود
نصارىا,صرى
تلك,تلك
امانيهم,مني
هاتوا,هات
برهانكم,بره
اسلم,سلم
وجهه,وجه
محسن,حسن
فله,فله
اجره,اجر
وقالت,وقل
اليهود,يهد
ليست,ليس
النصارىا,صرى
يتلون,يتل
مثل,مثل
قولهم,قول
فالله,فلل
يحكم,حكم
بينهم,بين
فيما,فيم
يختلفون,خلف
ممن,ممن
منع,منع
مساجد,سجد
يذكر,ذكر
اسمه,اسم
وسعىا,سعى
خرابها,خرب
يدخلوها,دخلو
خايفين,خيف
ولله,ولل
المشرق,شرق
والمغرب,غرب
فاينما,فين
تولوا,تول
فثم,فثم
وجه,وجه
واسع,وسع
اتخذ,تخذ
ولدا,ولد
سبحانه,سبح
قانتون,قنت
بديع,بدع
قضىا,قضى
امرا,امر
فانما,فان
كن,كن
فيكون,فيك
وقال,وقل
لولا,لول
يكلمنا,كلم
تاتينا,تتي
قبلهم,قبل
تشابهت,شبه
بينا,بين
الءايات,ءاي
لقوم,لقم
ارسلناك,رسل
بشيرا,بشر
ونذيرا,نذر
تسـل,سـل
الجحيم,جحم
ترضىا,رضى
عنك,عنك
تتبع,تبع
ملتهم,ملت
الهدىا,هدى
ولين,ولن
اتبعت,تبع
اهواءهم,هوء
جاءك,جءك
العلم,علم
ءاتيناهم,ءتي
يتلونه,تلو
حق,حق
تلاوته,لوت
تنفعها,نفع
ابتلىا,بلى
ابراهم,ابر
بكلمات,كلم
فاتمهن,فتم
جاعلك,جعل
اماما,اما
ذريتى,ذريتى
ينال,ينل
عهدى,عهدى
جعلنا,جعل
البيت,بيت
مثابة,ثاب
وامنا,وام
واتخذوا,تخذ
مقام,قام
مصلى,صلى
وعهدنا,عهد
واسماعيل,واسماعيل
طهرا,طهر
بيتى,يتى
للطايفين,طيف
والعاكفين,عكف
والركع,ركع
السجود,سجد
اجعل,جعل
بلدا,بلد
وارزق,رزق
اهله,اهل
فامتعه,متع
اضطره,ضطر
وبيس,وبس
المصير,صير
يرفع,رفع
القواعد,قعد
ربنا,ربن
تقبل,قبل
منا,منا
السميع,سمع
واجعلنا,جعل
مسلمين,سلم
ذريتنا,ذرت
امة,امة
وارنا,وار
مناسكنا,نسك
وتب,وتب
وابعث,بعث
فيهم,يهم
رسولا,رسل
يتلوا,يتل
ءاياتك,ءيا
ويعلمهم,علم
والحكمة,حكم
ويزكيهم,ويز
العزيز,عزز
يرغب,رغب
ملة,ملة
سفه,سفه
نفسه,نفس
اصطفيناه,اصطفيناه
وانه,ونه
الصالحين,صلح
اذ,اذ
اسلمت,سلم
لرب,لرب
ووصىا,وصى
بنيه,بنه
ويعقوب,عقب
اصطفىا,صطفى
تموتن,تمو
مسلمون,سلم
شهداء,شهداء
حضر,حضر
يعقوب,عقب
لبنيه,لبن
بعدى,عدى
الاهك,اهك
والاه,ولا
ءابايك,ءبا
واسحاق,سحق
الاها,اها
واحدا,وحد
خلت,خلت
لها,لها
كسبت,كسب
كسبتم,كسب
تسـلون,سـل
تهتدوا,هتد
حنيفا,حنف
قولوا,قول
الينا,ينا
والاسباط,سبط
اوتى,وتى
وعيسىا,عيسى
النبيون,نبي
نفرق,فرق
بمثل,مثل
ءامنتم,ءمن
اهتدوا,هتد
شقاق,شقق
فسيكفيكهم,يكف
صبغة,صبغ
احسن,احس
عابدون,عبد
اتحاجوننا,حجو
وربكم,ورب
ولنا,ولن
اعمالنا,عمل
اعمالكم,عمل
مخلصون,خلص
ءانتم,ءان
كتم,كتم
شهادة,شهد
عنده,عند
سيقول,يقل
ولىاهم,ولى
قبلتهم,قبل
عليها,عليها
يهدى,هدى
مستقيم,قيم
وكذالك,كذل
جعلناكم,جعل
وسطا,وسط
لتكونوا,تكو
ويكون,ويك
الرسول,رسل
شهيدا,شهد
القبلة,قبل
كنت,كنت
لنعلم,علم
يتبع,تبع
ينقلب,قلب
عقبيه,عقب
ليضيع,يضع
بالناس,ناس
لرءوف,رءف
رحيم,رحم
نرىا,نرى
تقلب,قلب
وجهك,وجه
فلنولينك,فلنولينك
قبلة,قبل
ترضىاها,رضى
فول,فول
شطر,شطر
المسجد,سجد
الحرام,حرم
وحيث,وحث
فولوا,فول
وجوهكم,وجه
شطره,شطر
ليعلمون,علم
اتيت,اتت
تبعوا,تبع
قبلتك,قبل
بتابع,تبع
اذا,اذا
يعرفونه,عرفو
يعرفون,عرف
ابناءهم,بنء
ليكتمون,كتم
تكونن,تكن
الممترين,متر
ولكل,لكل
وجهة,وجه
موليها,ولي
فاستبقوا,سبق
الخيرات,خير
اين,اين
يات,يات
خرجت,خرج
للحق,لحق
ليلا,ليل
يكون,يكون
حجة,حجة
تخشوهم,خشو
واخشونى,خشونى
ولاتم,ولا
ولعلكم,لعل
ارسلنا,رسل
فيكم,يكم
ءاياتنا,ءيا
ويزكيكم,ويز
ويعلمكم,علم
فاذكرونى,فاذكرونى
اذكركم,ذكر
واشكروا,شكر
لى,لى
استعينوا,عين
الصابرين,صبر
يقتل,قتل
سبيل,سبل
اموات,امو
احياء,حيء
تشعرون,شعر
ولنبلونكم,بلو
بشىء,شىء
الخوف,خوف
والجوع,جوع
ونقص,نقص
الاموال,مول
والانفس,نفس
والثمرات,ثمر
اصابتهم,صبت
مصيبة,صيب
صلوات,صلو
ورحمة,رحم
المهتدون,هتد
الصفا,صفا
والمروة,روة
شعاير,شعير
حج,حج
اعتمر,عمر
جناح,جنح
يطوف,يطف
بهما,بهم
تطوع,تطع
خيرا,خير
شاكر,شكر
يكتمون,كتم
والهدىا,هدى
بيناه,بين
يلعنهم,يلع
ويلعنهم,يلع
اللاعنون,لعن
تابوا,تاب
واصلحوا,صلح
وبينوا,وبن
اتوب,اتب
وماتوا,ومت
كفار,كفر
لعنة,لعن
والملايكة,لاك
والناس,ناس
اجمعين,جمع
خالدين,خلد
ينظرون,نظر
والاهكم,هكم
الاه,اله
واختلاف,خلف
اليل,الل
والنهار,نهر
والفلك,فلك
ينفع,نفع
فاحيا,فاح
موتها,موت
وبث,وبث
دابة,دبة
وتصريف,صرف
الرياح,ريح
والسحاب,سحب
المسخر,سخر
لءايات,لءي
يعقلون,عقل
يتخذ,تخذ
يحبونهم,حبو
كحب,كحب
حبا,حبا
يرى,يرى
يرون,يرن
القوة,قوة
شديد,شدد
تبرا,تبر
اتبعوا,تبع
وراوا,ورا
وتقطعت,قطع
الاسباب,سبب
كرة,كرة
فنتبرا,تبر
تبرءوا,برء
يريهم,يري
اعمالهم,عمل
حسرات,حسر
بخارجين,خرج
حلالا,حلل
طيبا,طيب
تتبعوا,تبع
خطوات,خطو
مبين,بين
بالسوء,سوء
والفحشاء,حشء
نتبع,تبع
الفينا,فين
ءاباءنا,ءاباء
اولو,ولو
ءاباوهم,ءاباو
يهتدون,هتد
ومثل,مثل
ينعق,نعق
يسمع,سمع
دعاء,دعء
ونداء,ندء
اياه,ايه
حرم,حرم
الميتة,يتة
والدم,لدم
ولحم,لحم
الخنزير,خنزير
لغير,لغر
اضطر,ضطر
باغ,باغ
عاد,عاد
اثم,اثم
غفور,غفر
ويشترون,شتر
ياكلون,يكل
بطونهم,بطن
يكلمهم,كلم
يزكيهم,يزك
والعذاب,عذب
بالمغفرة,غفر
اصبرهم,صبر
بان,بان
نزل,نزل
اختلفوا,خلف
لفى,لفى
بعيد,بعد
ليس,ليس
البر,لبر
والكتاب,كتب
والنبين,نبن
وءاتى,ءتى
المال,مال
حبه,حبه
ذوى,ذوى
وابن,وبن
والسايلين,سيل
الرقاب,رقب
واقام,اقم
والموفون,موف
بعهدهم,عهد
والصابرين,صبر
الباساء,اسء
والضراء,ضرء
وحين,وحن
الباس,باس
صدقوا,صدق
المتقون,متق
كتب,كتب
القصاص,قصص
القتلى,قتلى
الحر,لحر
بالحر,لحر
والعبد,عبد
بالعبد,عبد
والانثىا,ثىا
بالانثىا,ثىا
عفى,عفى
اخيه,اخه
فاتباع,تبع
بالمعروف,عرف
واداء,ادء
باحسان,بحس
تخفيف,خفف
اعتدىا,عدى
يااولى,ولى
الالباب,لبب
احدكم,احد
ترك,ترك
الوصية,وصة
للوالدين,ولد
والاقربين,قرب
حقا,حقا
المتقين,متق
بدله,بدل
بعدما,بعد
سمعه,سمع
اثمه,اثم
يبدلونه,دلو
سميع,سمع
خاف,خاف
موص,موص
جنفا,جنف
اثما,اثم
فاصلح,صلح
الصيام,صيم
معدودات,عدد
مريضا,ريض
سفر,سفر
فعدة,فعد
ايام,ايم
اخر,اخر
وعلى,على
يطيقونه,طيقو
فدية,فدة
مسكين,مسك
فهو,فهو
تصوموا,تصم
شهر,شهر
رمضان,رمض
القرءان,قرء
وبينات,وبن
شهد,شهد
الشهر,شهر
فليصمه,يصم
يريد,يرد
اليسر,يسر
العسر,عسر
ولتكملوا,كمل
العدة,عدة
ولتكبروا,كبر
هدىاكم,هدى
سالك,سلك
عبادى,عبدى
عنى,عنى
فانى,فنى
قريب,قرب
اجيب,اجب
دعوة,دعة
الداع,داع
دعان,دعن
فليستجيبوا,فليستجيب
وليومنوا,ليم
بى,بى
لعلهم,لعل
يرشدون,رشد
احل,احل
الرفث,رفث
نسايكم,نسي
هن,هن
لباس,لبس
لهن,لهن
تختانون,خان
وعفا,وعف
فالـان,فلـ
باشروهن,شرو
وابتغوا,بتغ
وكلوا,وكل
يتبين,يتب
الخيط,خيط
الابيض,ابض
الاسود,اسد
الفجر,فجر
اتموا,اتم
تباشروهن,شرو
عاكفون,عكف
المساجد,سجد
حدود,حدد
تقربوها,قربو
يتقون,يتق
تاكلوا,تكل
اموالكم,مول
بينكم,بين
وتدلوا,تدل
الحكام,حكم
لتاكلوا,تكل
اموال,مول
يسـلونك,ـلو
الاهلة,اهل
مواقيت,وقي
والحج,لحج
وليس,وليس
تاتوا,تات
البيوت,بيت
ظهورها,ظهر
اتقىا,تقى
ابوابها,بوب
تفلحون,فلح
وقاتلوا,قتل
يقاتلونكم,قاتلو
تعتدوا,عتد
يحب,يحب
المعتدين,عتد
واقتلوهم,قلو
ثقفتموهم,ثقفتمو
واخرجوهم,خرجو
اخرجوكم,خرجو
والفتنة,فتن
القتل,قتل
تقاتلوهم,قاتلو
يقاتلوكم,قاتلو
قاتلوكم,قاتلو
فاقتلوهم,قلو
انتهوا,انت
وقاتلوهم,قاتلو
تكون,تكون
عدوان,عدو
بالشهر,شهر
والحرمات,حرم
قصاص,قصص
